,Nome,IntPrice,ScontPrice,Colore,Categoria,Gender
0,3051 ALPINA APEX HIGHTOTAL BLACK,105.0,105.0,TOTAL BLACK,Stivaletti,F
1,3051 ALPINA APEX HIGHTOTAL BEIGE NATURAL,105.0,105.0,TOTAL BEIGE NATURAL,Stivaletti,F
2,2341 ALPINA NAPPAFULL BLACK,109.0,109.0,FULL BLACK,Stivaletti,F
3,2341 ALPINA NAPPAWHITE,109.0,109.0,WHITE,Stivaletti,F
4,2341 ALPINA NAPPABLACK-F AVORIO,109.0,109.0,BLACK-F AVORIO,Stivaletti,F
5,2341 ALPINA NAPPABEIGE NATURAL TOTAL-MATTE-F AVORIO,109.0,109.0,BEIGE NATURAL TOTAL-MATTE-F AVORIO,Stivaletti,F
6,2641 ALPINA HIGH NAPPATOTAL BLACK,139.0,139.0,TOTAL BLACK,Stivaletti,F
7,2341 ALPINAWHITE,89.0,89.0,WHITE,Stivaletti,F
8,2341 ALPINAFULL BLACK,89.0,89.0,FULL BLACK,Stivaletti,F
9,2341 ALPINABLACK-F AVORIO,89.0,89.0,BLACK-F AVORIO,Stivaletti,F
10,2341 ALPINAPINK SKIN-F AVORIO,89.0,89.0,PINK SKIN-F AVORIO,Stivaletti,F
11,2341 ALPINAGREEN SAFARI-F AVORIO,89.0,89.0,GREEN SAFARI-F AVORIO,Stivaletti,F
12,2341 ALPINA NAPPATOTAL BEIGE GESSO,109.0,109.0,TOTAL BEIGE GESSO,Stivaletti,F
